nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;word;sampa;ipa
2;ărraʹy;F.;;;n.;54.0;29;array;array;3:r eI;ɜ:r?
2;ărreaʹrs;F.;;;n.;55.0;29;arrears;arrears;3:r I r\ z;ɜ:rɪɹz
2;ărreʹſt;F.;;;n.;56.0;29;arrest;arrest;3:r E s t;ɜ:rɛst
2;ărreʹt;F.;;;n.;57.0;29;garret;garret;g E r\ i t;gɛɹit
2;arrieʹre;F.;;;n.;58.0;29;carriere;carriere;k A r\ I r\ i:;kɑɹɪɹiː
2;ărrīʹve;F.;;;v.;59.0;29;arrive;arrive;3:r aI v;ɜ:r?v
3;ăʹrrŏgănce;L.;;;n.;60.0;29;arrogance;arrogance;E r\ @ g @ n s;ɛɹəgəns
3;ăʹrrŏgănt;L.;;;a.;61.0;29;arrogant;arrogant;E r\ @ g @ n t;ɛɹəgənt
3;ăʹrrŏgāte;L.;;;v.;62.0;29;arrogate;arrogate;{ r\ @U g eI t;æɹoʊg?t
2;ăʹrro_w_;;;;n.;63.0;29;arrow;arrow;{ r\ @U;æɹoʊ
2;ăʹrſ_e_nal;F.;;;n.;64.0;29;arsenal;arsenal;A r\ s @ n @ l;ɑɹsənəl
3;ăʹrſĕnic;;;;n.;65.0;29;arsenic;arsenic;A r\ s @ n i k;ɑɹsənik
1;ărt;;;;n.;66.0;29;art;art;A r\ t;ɑɹt
3;ăʹrtĕry;G.;;;n.;67.0;29;artery;artery;A r\ 4 3:r i:;ɑɹɾɜ:riː
2;ăʹrtful;;;;a.;68.0;29;artful;artful;A r\ t f @ l;ɑɹtfəl
3;ărthrĭʹtic;G.;;;a.;69.0;29;arthritic;arthritic;A r\ T r\ I 4 i k;ɑɹθɹɪɾik
3;ăʹrtichōke;;;;n.;70.0;29;artichoke;artichoke;A r\ 4 @ tS @U k;ɑɹɾə?oʊk
3;ăʹrtĭcle;L.;;;n.;71.0;29;article;article;A r\ 4 @ k @ l;ɑɹɾəkəl
4;ărtĭʹcŭlāte;L.;;;a.;72.0;29;articulate;articulate;A r\ t I k j @ l eI t;ɑɹtɪkjəl?t
3;ăʹrtĭfĭce;L.;;;n.;73.0;29;artifice;artifice;A r\ 4 @ f i s;ɑɹɾəfis
4;ărtĭʹfĭcer;L.;;;n.;2.0;30;artifice;artifice;A r\ 4 @ f i s;ɑɹɾəfis
5;ărtĭfĭʹcĭal;L.;;;a.;3.0;30;artificial;artificial;A r\ 4 @ f I S @ l;ɑɹɾəfɪʃəl
4;ărtĭʹllĕry;F.;;;n.;4.0;30;artillery;artillery;A r\ t I l 3:r i:;ɑɹtɪlɜ:riː
3;ăʹrtĭſan;F.;;;n.;5.0;30;artisan;artisan;A r\ 4 @ z @ n;ɑɹɾəzən
2;ăʹrtiſt;;;;n.;6.0;30;artist;artist;A r\ 4 @ s t;ɑɹɾəst
2;ăʹrtleſs;;;;a.;7.0;30;hartless;hartless;h A r\ t l @ s;hɑɹtləs
3;arŭʹſpĭce;L.;;;n.;8.0;30;auspice;auspice;O: s p i s;Oːspis
3;ăry̆ʹthmus;G.;;;n.;9.0;30;rhythms;rhythms;r\ I D @ m z;ɹɪðəmz
3;ăʹſăphy;;;;n.;10.0;30;ashy;ashy;{ S i:;æʃiː
2;ăʹfar;;;;n.;11.0;30;afar;afar;@ f A r\;əfɑɹ
3;ăſbĕʹſtos;G.;;;n.;12.0;30;asbestos;asbestos;{ s b E s t @ s;æsbɛstəs
4;aſcāʹrĭdès;G.;;;n.;13.0;30;scariest;scariest;s k E r\ i: @ s t;skɛɹiːəst
2;ăſcĕʹnd;L.;;;v.;14.0;30;ascend;ascend;@ s E n d;əsɛnd
3;ăſcĕʹndănt;;;;n.;15.0;30;ascendant;ascendant;@ s E n d @ n t;əsɛndənt
4;ăſcĕʹnſion;;;;n.;16.0;30;ascension;ascension;@ s E n S @ n;əsɛnʃən
2;ăſcĕʹnt;L.;;;n.;17.0;30;ascent;ascent;@ s E n t;əsɛnt
3;ăſcĕrtaiʹn;;;;v.;18.0;30;ascertain;ascertain;{ s 3:r t eI n;æsɜ:rt?n
3;ăſcēʹtic;G.;;;n.;19.0;30;ascetic;ascetic;@ s E 4 i k;əsɛɾik
3;ăʹſcĭī;G.;;;n.;20.0;30;ascii;ascii;{ s k i:;æskiː
2;aſcrīʹbe;L.;;;v.;21.0;30;ascribe;ascribe;@ s k r\ aI b;əskɹ?b
3;aſhāʹmed;;;;a.;22.0;30;ashamed;ashamed;@ S eI m d;əʃ?md
1;ăſh;;;;n.;23.0;30;ash;ash;{ S;æʃ
2;ăʹſhes;;;;n.;24.0;30;ashes;ashes;{ S @ z;æʃəz
2;aſhōʹre;;;;p.;25.0;30;ashore;ashore;@ S O: r\;əʃOːɹ
3;āʹſĭā;;;;n.;26.0;30;asia;asia;eI Z @;?ʒə
4;āſĭăʹtics;;;;n.;27.0;30;asiatic;asiatic;eI Z i: { 4 i k;?ʒiːæɾik
2;aſīʹde;;;;p.;28.0;30;aside;aside;@ s aI d;əs?d
2;aſkăʹnce;;;;p.;29.0;30;askance;askance;@ s k { n s;əskæns
2;aſkeʹw;;;;p.;30.0;30;askew;askew;@ s k j u;əskju
2;aſlōʹpe;;;;a.;31.0;30;slope;slope;s l @U p;sloʊp
1;ăſp;;;;n.;32.0;30;asp;asp;{ s p;æsp
4;ăſpăʹrăgus;;;;n.;33.0;30;asparagus;asparagus;@ s p E r\ @ g @ s;əspɛɹəgəs
2;ăʹſpĕct;L.;;;n.;34.0;30;aspect;aspect;{ s p E k t;æspɛkt
4;ăſpĕʹrĭty;L.;;;n.;35.0;30;austerity;austerity;O: s t E r\ i 4 i:;Oːstɛɹiɾiː
2;ăſpĕʹrſe;L.;;;v.;36.0;30;caspersen;caspersen;k { s p 3:r s @ n;kæspɜ:rsən
4;ăſpĕʹrſion;L.;;;n.;37.0;30;aspersion;aspersion;@ s p 3:r Z @ n;əspɜ:rʒən
3;ăſphăʹltos;G.;;;n.;38.0;30;asphalt;asphalt;{ s f O: l t;æsfOːlt
5;ăſpirāʹtion;L.;;;n.;39.0;30;aspiration;aspiration;{ s p 3:r eI S @ n;æspɜ:r?ʃən
2;ăſpīʹre;L.;;;v.;40.0;30;aspire;aspire;@ s p aI r\;əsp?ɹ
1;ăſs;;;;n.;41.0;30;ass;ass;{ s;æs
2;ăſſaiʹl;F.;;;v.;42.0;30;assail;assail;@ s eI l;əs?l
3;ăſſaiʹlănts;;;;n.;43.0;30;assailants;assailants;@ s eI l @ n t s;əs?lənts
4;ăſſăʹſſĭnāte;F.;;;v.;44.0;30;assassinate;assassinate;@ s { s @ n eI t;əsæsən?t
2;ăſſauʹlt;F.;;;v.;45.0;30;assault;assault;@ s O: l t;əsOːlt
2;ăſſaʹy;F.;;;n.;46.0;30;assay;assay;{ s i:;æsiː
3;ăſſaʹyer;;;;n.;47.0;30;assayer;assayer;{ s eI 3:r;æs?ɜ:r
3;ăſſĕʹmblage;F.;;;n.;48.0;30;assemblage;assemblage;@ s E m b l @ dZ;əsɛmblə?
3;ăſſĕʹmble;F.;;;v.;49.0;30;assemble;assemble;@ s E m b @ l;əsɛmbəl
3;ăſſĕʹmbly;F.;;;n.;50.0;30;assembly;assembly;@ s E m b l i:;əsɛmbliː
2;ăſſĕʹnt;L.;;;n.;51.0;30;assent;assent;@ s E n t;əsɛnt
2;ăſſĕʹrt;L.;;;v.;52.0;30;assert;assert;@ s 3:r t;əsɜ:rt
4;ăſſĕʹrtion;L.;;;n.;53.0;30;assertion;assertion;@ s 3:r S @ n;əsɜ:rʃən
4;ăſſĕʹrtŏry;;;;a.;54.0;30;assert;assert;@ s 3:r t;əsɜ:rt
2;ăſſĕʹſs;;;;v.;55.0;30;assess;assess;@ s E s;əsɛs
3;ăſſĕʹſſment;;;;n.;56.0;30;assessment;assessment;@ s E s m @ n t;əsɛsmənt
3;ăſſĕʹſſor;;;;n.;57.0;30;assessor;assessor;@ s E s 3:r;əsɛsɜ:r
2;ăſſĕʹts;F.;;;n.;58.0;30;assets;assets;{ s E t s;æsɛts
6;ăſſĕvĕrāʹtion;L.;;;n.;59.0;30;assertion;assertion;@ s 3:r S @ n;əsɜ:rʃən
5;aſſĭdūʹĭty;L.;;;n.;60.0;30;passivity;passivity;p @ s I v i 4 i:;pəsɪviɾiː
4;ăſſĭʹdū_o_us;L.;;;a.;61.0;30;assiduous;assiduous;@ s I d w @ s;əsɪdwəs
2;ăſſīʹ_g_n;L.;;;v.;62.0;30;assign;assign;@ s aI n;əs?n
3;ăſſĭ_g_neeʹ;;;;n.;63.0;30;assigned;assigned;@ s aI n d;əs?nd
3;ăſſīʹ_g_nment;;;;n.;64.0;30;assignment;assignment;@ s aI n m @ n t;əs?nmənt
4;ăſſī_g_nable;;nbSyll>1 et pas d'accent tonic;;a.;65.0;30;massingale;massingale;m A s i N g A l i:;mɑsiŋgɑliː
5;ăſſĭgnāʹtion;L.;;;n.;66.0;30;assassination;assassination;@ s { s @ n eI S @ n;əsæsən?ʃən
4;ăſſĭʹmĭlāte;L.;;;v.;67.0;30;assimilate;assimilate;@ s I m @ l eI t;əsɪməl?t
4;ăſſĭʹmūlāte;;;;v.;68.0;30;assimilate;assimilate;@ s I m @ l eI t;əsɪməl?t
2;ăſſĭʹſt;L.;;;v.;69.0;30;assist;assist;@ s I s t;əsɪst
3;ăſſĭʹſtănce;;;pas de {POS} indiquée dans le dictionnaire.;;70.0;30;assistance;assistance;@ s I s t @ n s;əsɪstəns
3;ăſſĭʹſtănt;;;;n.;71.0;30;assistant;assistant;@ s I s t @ n t;əsɪstənt
2;ăſſīʹze;;;;n.;72.0;30;massie;massie;m { s i:;mæsiː
3;ăſſīzer;;nbSyll>1 et pas d'accent tonic;;n.;73.0;30;sizer;sizer;s aI z 3:r;s?zɜ:r
3;ăſſīzes;;nbSyll>1 et pas d'accent tonic;;n.;2.0;31;sizes;sizes;s aI z @ z;s?zəz
4;ăſſŏʹcĭāte;L.;;;v.;3.0;31;associate;associate;@ s @U s i: @ t;əsoʊsiːət
6;ăſſŏcĭāʹtion;L.;;;n.;4.0;31;association;association;@ s @U s i: eI S @ n;əsoʊsiː?ʃən
2;ăſſuāʹge;;;;v.;5.0;31;assuage;assuage;@ s w eI dZ;əsw??
2;ăſſūʹme;L.;;;v.;6.0;31;assume;assume;@ s u m;əsum
3;ăſſŭʹm_p_fit;;;;n.;7.0;31;assumption;assumption;@ s V m p S @ n;əsʌmpʃən
4;ăſſŭʹm_p_tion;L.;;;n.;8.0;31;assumption;assumption;@ s V m p S @ n;əsʌmpʃən
3;ăſſŭʹmptive;;;;a.;9.0;31;assumption;assumption;@ s V m p S @ n;əsʌmpʃən
3;ăſſūʹrănce;F.;;;n.;10.0;31;assurance;assurance;@ S U r\ @ n s;əʃʊɹəns
2;ăſſūʹre;;;;v.;11.0;31;assure;assure;@ S U r\;əʃʊɹ
3;ăʹſtĕrĭſk;G.;;;n.;12.0;31;asterisk;asterisk;{ s t 3:r i s k;æstɜ:risk
3;ăʹſtĕriſm;G.;;;n.;13.0;31;asterisk;asterisk;{ s t 3:r i s k;æstɜ:risk
2;ăʹſt_h_mā;G.;;;n.;14.0;31;asthma;asthma;{ z m @;æzmə
3;ăſt_h_măʹtic;G.;;;a.;15.0;31;asthmatic;asthmatic;{ z m { 4 i k;æzmæɾik
3;ăſtŏʹniſh;F.;;;v.;16.0;31;astonish;astonish;@ s t A n i S;əstɑniʃ
4;aſtŏʹnĭſhment;F.;;;n.;17.0;31;astonishment;astonishment;@ s t A n i S m @ n t;əstɑniʃmənt
3;ăſtȯu̇ʹnded;;;;a.;18.0;31;astounded;astounded;@ s t aU n d i d;əst?ndid
3;ăʹſtrăgal;G.;;;n.;19.0;31;astral;astral;{ s t r\ @ l;æstɹəl
2;aſtraʹy;;;;v.;20.0;31;astray;astray;@ s t r\ eI;əstɹ?
3;ăſtrėʹȧ;;;;n.;21.0;31;astra;astra;{ s t r\ @;æstɹə
2;aſtrīʹde;;;;p.;22.0;31;astride;astride;@ s t r\ aI d;əstɹ?d
2;aſtrĭʹnge;L.;;;v.;23.0;31;astringent;astringent;@ s t r\ I n dZ @ n t;əstɹɪn?ənt
3;ăſtrĭʹngent;L.;;;a.;24.0;31;astringent;astringent;@ s t r\ I n dZ @ n t;əstɹɪn?ənt
5;ăſtrŏlŏʹgĭcal;G.;;;a.;25.0;31;astrological;astrological;{ s t r\ @ l A dZ i k @ l;æstɹəlɑ?ikəl
4;ăſtrŏʹlŏgy;G.;;;n.;26.0;31;astrology;astrology;@ s t r\ A l @ dZ i:;əstɹɑlə?iː
5;ăſtrŏnŏʹmĭcal;G.;;;a.;27.0;31;astronomical;astronomical;{ s t r\ @ n A m i k @ l;æstɹənɑmikəl
4;ăſtrŏʹnŏmy;G.;;;n.;28.0;31;astronomy;astronomy;@ s t r\ A n @ m i:;əstɹɑnəmiː
3;aſŭʹnder;;;;p.;29.0;31;asunder;asunder;@ s V n d 3:r;əsʌndɜ:r
3;ăʹſy̆lum;G.;;;n.;30.0;31;asylum;asylum;@ s aI l @ m;əs?ləm
4;ăſſyʹmetry;G.;;;n.;31.0;31;asymmetry;asymmetry;eI s I m @ t r\ i:;?sɪmətɹiː
2;ătchieʹve;F.;;;v.;32.0;31;achieve;achieve;@ tS i: v;ə?iːv
3;ătchieʹv_e_ment;F.;;;n.;33.0;31;achievement;achievement;@ tS i: v m @ n t;ə?iːvmənt
3;aʹthėiſm;G.;;;n.;34.0;31;atheism;atheism;@ T aI s @ m;əθ?səm
5;athėiʹſtĭcal;G.;;;a.;35.0;31;atheistic;atheistic;eI T i: I s t i k;?θiːɪstik
3;aʹthėiſt;;;;n.;36.0;31;atheist;atheist;eI T i: @ s t;?θiːəst
4;atheʹnĭan;;;;n.;37.0;31;athenian;athenian;@ T i: n i: @ n;əθiːniːən
2;athĭʹrſt;;;;a.;38.0;31;athirst;athirst;{ T 3:r s t;æθɜ:rst
3;ăthlēʹtic;G.;;;n.;39.0;31;athletic;athletic;{ T l E 4 i k;æθlɛɾik
3;ătlăʹntic;;;;n.;40.0;31;atlantic;atlantic;@ t l { n t i k;ətlæntik
2;ăʹtlas;;;;n.;41.0;31;atlas;atlas;{ t l @ s;ætləs
3;ăʹtmŏſphēre;G.;;;n.;42.0;31;atmosphere;atmosphere;{ t m @ s f I r\;ætməsfɪɹ
2;ăʹtŏm;G.;;;n.;43.0;31;atom;atom;{ 4 @ m;æɾəm
2;atōʹne;;;;v.;44.0;31;atone;atone;@ t @U n;ətoʊn
3;atōʹn_e_ment;;;;n.;45.0;31;atonement;atonement;@ t @U n m @ n t;ətoʊnmənt
4;ătrōʹci_o_us;L.;;;a.;46.0;31;atrocious;atrocious;@ t r\ @U S @ s;ətɹoʊʃəs
3;ăʹtrŏphy;G.;;;n.;47.0;31;atrophy;atrophy;{ t r\ @ f i:;ætɹəfiː
3;ăʹtrŏpos;G.;;;n.;48.0;31;apropos;apropos;{ p r\ @ p @U;æpɹəpoʊ
2;ăttăʹch;F.;;;v.;49.0;31;attach;attach;@ t { tS;ətæ?
3;ăttaʹchment;F.;;;n.;50.0;31;attachment;attachment;@ t { tS m @ n t;ətæ?mənt
2;ăttăʹck;F.;;;v.;51.0;31;attack;attack;@ t { k;ətæk
2;ăttaiʹn;L.;;;v.;52.0;31;attain;attain;@ t eI n;ət?n
4;ăttaʹinable;;;;a.;53.0;31;attainable;attainable;@ t eI n @ b @ l;ət?nəbəl
3;ăttaiʹnder;F.;;;n.;54.0;31;attainder;attainder;@ t eI n d 3:r;ət?ndɜ:r
3;ăttaiʹnment;;;;n.;55.0;31;attainment;attainment;@ t eI n m @ n t;ət?nmənt
2;ăttaiʹnt;L.;;;v.;56.0;31;attain;attain;@ t eI n;ət?n
3;ăttĕʹmp_e_r;L.;;;v.;57.0;31;temper;temper;t E m p 3:r;tɛmpɜ:r
2;ăttĕʹmpt;L.;;;v.;58.0;31;attempt;attempt;@ t E m p t;ətɛmpt
2;ăttĕʹnd;L.;;;v.;59.0;31;attend;attend;@ t E n d;ətɛnd
3;ăttĕʹndănt;;;;n.;60.0;31;attendant;attendant;@ t E n d @ n t;ətɛndənt
4;ăttĕʹnūāte;L.;;;v.;61.0;31;attenuate;attenuate;@ t E n j u eI t;ətɛnju?t
2;ăttĕʹſt;L.;;;v.;62.0;31;attest;attest;@ t E s t;ətɛst
5;ăttĕſtāʹtion;L.;;;n.;63.0;31;gestation;gestation;dZ E s t eI S @ n;?ɛst?ʃən
2;ăʹttic;G.;;;a.;64.0;31;attic;attic;{ 4 i k;æɾik
3;ăʹttĭcā;G.;;pas de {POS} indiquée dans le dictionnaire.;;65.0;31;attica;attica;{ 4 i k @;æɾikə
2;ăttīʹre;F.;;;n.;66.0;31;attire;attire;@ t aI 3:r;ət?ɜ:r
3;ăʹttĭtūde;F.;;;n.;67.0;31;attitude;attitude;{ 4 @ t u d;æɾətud
3;attŏʹrney;;;;n.;68.0;31;attorney;attorney;@ t 3:r n i:;ətɜ:rniː
2;ăttrăʹct;L.;;;v.;69.0;31;attract;attract;@ t r\ { k t;ətɹækt
3;ăʹttrĭbūte;L.;;;n.;70.0;31;attribute;attribute;{ t r\ @ b j u t;ætɹəbjut
4;ăttrĭʹtion;;;;n.;71.0;31;attrition;attrition;@ t r\ I S @ n;ətɹɪʃən
2;avaiʹl;;;;v.;72.0;31;avail;avail;@ v eI l;əv?l
4;avaiʹlable;;;;a.;73.0;31;available;available;@ v eI l @ b @ l;əv?ləbəl
2;avauʹnt;;;;p.;2.0;32;avant;avant;@ v A n t;əvɑnt
3;ăʹvarice;L.;;;n.;3.0;32;avarice;avarice;{ v 3:r @ s;ævɜ:rəs
5;ăvărĭʹcĭ_o_us;;;;a.;4.0;32;vicious;vicious;v I S @ s;vɪʃəs
2;avăʹſt;;;;p.;5.0;32;avast;avast;@ v { s t;əvæst
2;auʹbŭrn;;;;n.;6.0;32;auburn;auburn;A b 3:r n;ɑbɜ:rn
3;auʹction;L.;;;n.;7.0;32;auction;auction;A k S @ n;ɑkʃən
4;auctioneʹer;;;;n.;8.0;32;auctioneer;auctioneer;A k S @ n I r\;ɑkʃənɪɹ
4;audāʹcĭous;L.;;;a.;9.0;32;audacious;audacious;A d eI S @ s;ɑd?ʃəs
5;audāʹcĭ_o_uſneſs;;;;n.;10.0;32;audacious;audacious;A d eI S @ s;ɑd?ʃəs
3;auʹdĭble;L.;;;a.;11.0;32;audible;audible;A 4 @ b @ l;ɑɾəbəl
3;auʹdĭĕnce;L.;;;n.;12.0;32;audience;audience;A 4 i: @ n s;ɑɾiːəns
2;auʹdit;L.;;;n.;13.0;32;audit;audit;O: 4 i t;Oːɾit
3;auʹdĭtors;;;;n.;14.0;32;auditors;auditors;A 4 @ 4 3:r z;ɑɾəɾɜ:rz
4;auʹdĭtory;;;;n.;15.0;32;auditory;auditory;O: 4 i t O: r\ i:;OːɾitOːɹiː
2;avĕʹnge;F.;;;v.;16.0;32;avenge;avenge;@ v E n dZ;əvɛn?
3;ăʹvĕnor;L.;;;n.;17.0;32;vernor;vernor;v 3:r n 3:r;vɜ:rnɜ:r
3;ăʹv_e_nūe;F.;;;n.;18.0;32;avenue;avenue;{ v @ n u;ævənu
2;avĕʹr;F.;;;v.;19.0;32;aver;aver;eI v 3:r;?vɜ:r
3;ăʹvĕrage;;;;n.;20.0;32;average;average;{ v 3:r i dZ;ævɜ:ri?
2;avĕʹrſe;L.;;;a.;21.0;32;averse;averse;@ v 3:r s;əvɜ:rs
4;avĕʹrſion;;;;n.;22.0;32;aversion;aversion;@ v 3:r Z @ n;əvɜ:rʒən
2;avĕʹrt;L.;;;v.;23.0;32;avert;avert;@ v 3:r t;əvɜ:rt
3;ăʹvĕry;;;;n.;24.0;32;avery;avery;eI v 3:r i:;?vɜ:riː
2;auʹgar;;;;n.;25.0;32;agar;agar;eI g 3:r;?gɜ:r
1;au_gh_t;;;;p.;26.0;32;vaught;vaught;v O: t;vOːt
2;augmeʹnt;L.;;;v.;27.0;32;augment;augment;O: g m E n t;Oːgmɛnt
2;auʹgŭr;L.;;;n.;28.0;32;augur;augur;O: g 3:r;Oːgɜ:r
3;auʹgŭry;L.;;;n.;29.0;32;augur;augur;O: g 3:r;Oːgɜ:r
2;augŭʹſt;L.;;;a.;30.0;32;august;august;A g @ s t;ɑgəst
2;auʹguſt;;;;n.;31.0;32;august;august;A g @ s t;ɑgəst
4;ăʹvĭăry;L.;;;n.;32.0;32;aviary;aviary;eI v i: E r\ i:;?viːɛɹiː
4;avĭʹdĭty;L.;;;n.;33.0;32;avidity;avidity;{ v I 4 i 4 i:;ævɪɾiɾiː
2;auʹkward;;;;a.;34.0;32;awkward;awkward;A k w 3:r d;ɑkwɜ:rd
2;auʹlic;L.;;;a.;35.0;32;paulick;paulick;p O: l i k;pOːlik
1;aune;;;;n.;36.0;32;aune;aune;O: n;Oːn
1;aunt;;;;n.;37.0;32;aunt;aunt;{ n t;ænt
5;ăvŏcātiʹon;L.;;;n.;38.0;32;avocation;avocation;{ v @ k eI S @ n;ævək?ʃən
2;avoiʹd;F.;;;v.;39.0;32;avoid;avoid;@ v OI d;əv?d
4;avoirdūpoiʹze;F.;;;n.;40.0;32;oxidize;oxidize;A k s @ d aI z;ɑksəd?z
2;avȯu̇ʹch;F.;;;v.;41.0;32;vouch;vouch;v aU tS;v??
2;avȯʹẇ;;;;v.;42.0;32;avow;avow;@ v aU;əv?
3;avȯẇeeʹ;;;;n.;43.0;32;avowed;avowed;@ v aU d;əv?d
3;avȯʹẇry;;;;n.;44.0;32;savory;savory;s eI v 3:r i:;s?vɜ:riː
2;auʹrā;L.;;;n.;45.0;32;aura;aura;O: r\ @;Oːɹə
4;aurĕʹlĭā;L.;;;n.;46.0;32;aurelio;aurelio;aU r\ eI l i: @U;?ɹ?liːoʊ
4;aurĭʹcŭlā;L.;;;n.;47.0;32;curricula;curricula;k 3:r I k j @ l @;kɜ:rɪkjələ
4;aurĭʹcŭlar;L.;;;a.;48.0;32;particular;particular;p 3:r t I k j @ l 3:r;pɜ:rtɪkjəlɜ:r
4;aurĭʹfĕr_o_us;L.;;;a.;49.0;32;carboniferous;carboniferous;k A r\ b @ n I f 3:r @ s;kɑɹbənɪfɜ:rəs
3;aurōʹră;L.;;;n.;50.0;32;aurora;aurora;3:r O: r\ @;ɜ:rOːɹə
2;auʹſpex;L.;;;n.;51.0;32;auspey;auspey;aU s p i:;?spiː
4;auſpĭʹcĭ_o_us;L.;;;n.;52.0;32;auspicious;auspicious;A s p I S @ s;ɑspɪʃəs
2;auſtēʹre;L.;;;a.;53.0;32;austere;austere;O: s t I r\;Oːstɪɹ
4;auſtēʹrĭty;L.;;;n.;54.0;32;austerity;austerity;O: s t E r\ i 4 i:;Oːstɛɹiɾiː
2;auʹſtral;L.;;;a.;55.0;32;austral;austral;O: s t r\ @ l;Oːstɹəl
3;authĕʹntic;G.;;;a.;56.0;32;authentic;authentic;@ T E n t i k;əθɛntik
2;auʹthor;L.;;;n.;57.0;32;author;author;O: T 3:r;Oːθɜ:r
5;authŏʹrĭtătive;;;;a.;58.0;32;authoritative;authoritative;@ T O: r\ @ t eI 4 i v;əθOːɹət?ɾiv
4;authŏʹrĭty;L.;;;n.;59.0;32;authority;authority;@ T O: r\ @ 4 i:;əθOːɹəɾiː
3;auʹthŏrīſe;;;;v.;60.0;32;authorize;authorize;O: T 3:r aI z;Oːθɜ:r?z
4;autŏʹmăton;G.;;;n.;61.0;32;automaton;automaton;O: t A m @ t A n;Oːtɑmətɑn
2;auʹtŭm_n_;L.;;;n.;62.0;32;autumn;autumn;O: 4 @ m;Oːɾəm
3;autŭʹmnal;L.;;;a.;63.0;32;autumnal;autumnal;O: t V m n @ l;Oːtʌmnəl
5;auxĭlʹlĭăry;L.;;;a.;64.0;32;auxiliary;auxiliary;A g z I l j 3:r i:;ɑgzɪljɜ:riː
2;awaʹiʹt;;;;v.;65.0;32;await;await;@ w eI t;əw?t
2;awāke;;nbSyll>1 et pas d'accent tonic;;v.;66.0;32;awake;awake;@ w eI k;əw?k
2;awaʹrd;;;;v.;67.0;32;award;award;@ w O: r\ d;əwOːɹd
2;awāʹre;;;;v.;68.0;32;aware;aware;@ w E r\;əwɛɹ
1;awe;;;;n.;69.0;32;awe;awe;A;ɑ
2;aʹwful;;;;a.;70.0;32;awful;awful;A f @ l;ɑfəl
1;awl;;;;n.;71.0;32;rawl;rawl;r\ O: l;ɹOːl
2;aʹwning;;;;n.;72.0;32;awning;awning;A n i N;ɑniŋ
1;ax;;;;n.;73.0;32;ax;ax;{ k s;æks
3;ăʹxĭom;G.;;;n.;2.0;33;axiom;axiom;{ k s i: @ m;æksiːəm
2;ăʹxis;L.;;;n.;3.0;33;axis;axis;{ k s @ s;æksəs
3;aʹxl_e_tree;;;;n.;4.0;33;palmertree;palmertree;p A m 3:r t r\ i:;pɑmɜ:rtɹiː
2;aʹyry;;;;n.;5.0;33;ayr;ayr;eI r\;?ɹ
1;aye;;;;p.;6.0;33;aye;aye;aI;?
2;ăʹzūre;F.;;;n.;7.0;33;azure;azure;{ Z 3:r;æʒɜ:r
2;băʹbble;;;;v.;2.0;33;babble;babble;b { b @ l;bæbəl
1;bābe;;;;n.;3.0;33;babe;babe;b eI b;b?b
2;băʹbler;;;;n.;4.0;33;babler;babler;b eI b @ l 3:r;b?bəlɜ:r
2;băbooʹn;F.;;;n.;5.0;33;baboon;baboon;b @ b u n;bəbun
3;băʹcc_h_ănals;L.;;;n.;6.0;33;bacchanalia;bacchanalia;b { k @ n eI l j @;bækən?ljə
2;băʹc_h_us;;;;n.;7.0;33;bachus;bachus;b { tS @ s;bæ?əs
3;băʹchĕlor;L.;;;n.;8.0;33;bachelor;bachelor;b { tS @ l 3:r;bæ?əlɜ:r
4;băʹchĕlŏrſhip;;;;n.;9.0;33;bachelors;bachelors;b { tS l 3:r z;bæ?lɜ:rz
1;băck;;;;n.;10.0;33;back;back;b { k;bæk
2;băʹckbīte;;;;v.;11.0;33;backbite;backbite;b { k b aI t;bækb?t
2;băʹckſlīde;;;;v.;12.0;33;backslide;backslide;b { k s l aI d;bæksl?d
2;băʹckward;;;;p.;13.0;33;backward;backward;b { k w 3:r d;bækwɜ:rd
2;bāʹcŏn;;;;n.;14.0;33;bacon;bacon;b eI k @ n;b?kən
1;bădge;;;;n.;15.0;33;badge;badge;b { dZ;bæ?
2;băʹdger;;;;n.;16.0;33;badger;badger;b { dZ 3:r;bæ?ɜ:r
2;băʹffle;;;;v.;17.0;33;baffle;baffle;b { f @ l;bæfəl
1;băg;;;;n.;18.0;33;bag;bag;b { g;bæg
2;băʹggage;;;;n.;19.0;33;baggage;baggage;b { g @ dZ;bægə?
3;băʹ_g_nĭo;;;;n.;20.0;33;baglio;baglio;b { g l i: @U;bægliːoʊ
2;băʹgpīpe;;;;n.;21.0;33;bagpipe;bagpipe;b { g p aI p;bægp?p
2;bāʹhar;;;;n.;22.0;33;bachar;bachar;b A k 3:r;bɑkɜ:r
1;bail;;;;n.;23.0;33;bail;bail;b eI l;b?l
2;baiʹliff;F.;;;n.;24.0;33;bailiff;bailiff;b eI l @ f;b?ləf
3;baiʹlĭwic;;;;n.;25.0;33;bailiwick;bailiwick;b eI l i w I k;b?liwɪk
2;baiʹram;;;;n.;26.0;33;baram;baram;b E r\ { m;bɛɹæm
1;bait;;;;n.;27.0;33;bait;bait;b eI t;b?t
1;bāke;;;;v.;28.0;33;bake;bake;b eI k;b?k
2;băʹlănce;F.;;;n.;29.0;33;balance;balance;b { l @ n s;bæləns
3;băʹlcŏny;F.;;;n.;30.0;33;balcony;balcony;b { l k @ n i:;bælkəniː
1;bald;;;;a.;31.0;33;bald;bald;b O: l d;bOːld
