hwd;pronSampa;ipa
suggests(3);s @ g dZ E s;səg?ɛs
petrossian;p @ t r\ O: z @ n;pətɹOːzən
riese;r\ i: z;ɹiːz
zeibel's;z aI b @ l z;z?bəlz
fourth;f O: r\ T;fOːɹθ
aymond;eI m @ n d;?mənd
montijo;m @U n t i: j @U;moʊntiːjoʊ
naffziger;n { f z i g 3:r;næfzigɜ:r
pasley;p { s l i:;pæsliː
yeung;j u N;juŋ
dissecting;d aI s E k t i N;d?sɛktiŋ
erupted(2);i r\ V p t i d;iɹʌptid
sponsorships;s p A n s 3:r S I p s;spɑnsɜ:rʃɪps
skier(2);s k i: 3:r;skiːɜ:r
derden;d 3:r d @ n;dɜ:rdən
aimee;eI m i:;?miː
halgren;h { l g r\ E n;hælgɹɛn
hyundai(2);h V n d eI;hʌnd?
dispersant;d I s p 3:r s @ n t;dɪspɜ:rsənt
blindly;b l aI n d l i:;bl?ndliː
knief;n i: f;niːf
brien;b r\ aI i n;bɹ?in
galvanizing;g { l v @ n aI z i N;gælvən?ziŋ
preside(2);p r\ i: z aI d;pɹiːz?d
arcturus;A r\ k t U r\ @ s;ɑɹktʊɹəs
outdo;aU t d u;?tdu
lacovara;l A k @U v A r\ @;lɑkoʊvɑɹə
handley;h { n d l i:;hændliː
klump;k l V m p;klʌmp
figgie's;f I g i: z;fɪgiːz
vibration;v aI b r\ eI S @ n;v?bɹ?ʃən
dealmaker;d i: l m eI k 3:r;diːlm?kɜ:r
nor;n O: r\;nOːɹ
fadden;f { d @ n;fædən
friesner;f r\ i: s n 3:r;fɹiːsnɜ:r
erna;3:r n @;ɜ:rnə
dragonair;d r\ { g @ n E r\;dɹægənɛɹ
comely;k V m l i:;kʌmliː
fooshee;f u S i:;fuʃiː
lass;l { s;læs
hicklin;h I k l i n;hɪklin
fauntroy;f O: n t r\ OI;fOːntɹ?
mesons;m i: z A n z;miːzɑnz
thirteen;T 3:r t i: n;θɜ:rtiːn
yuppified;j V p i f aI d;jʌpif?d
transcripts;t r\ { n s k r\ I p t s;tɹænskɹɪpts
combines;k @ m b aI n z;kəmb?nz
nationsbanc's(2);n eI S @ n z b A N k;n?ʃənzbɑŋk
thetis;T i: 4 @ s;θiːɾəs
centrust's;s E n t r\ V s t s;sɛntɹʌsts
despaired;d i s p E r\ d;dispɛɹd
sholl;S A l;ʃɑl
complicit;k @ m p l I s @ t;kəmplɪsət
seskar;s E s k A r\;sɛskɑɹ
mac's;m { k s;mæks
preference(2);p r\ E f r\ @ n s;pɹɛfɹəns
nyman;n aI m @ n;n?mən
leuenberger;l u @ n b 3:r g 3:r;luənbɜ:rgɜ:r
innerspace;I n 3:r s p eI s;ɪnɜ:rsp?s
envisioning;E n v I Z @ n i N;ɛnvɪʒəniŋ
dort;d O: r\ t;dOːɹt
february(4);f E b u w E r\ i:;fɛbuwɛɹiː
burgamy;b 3:r g @ m i:;bɜ:rgəmiː
festooned;f E s t u n d;fɛstund
steakhouse;s t eI k h aU s;st?kh?s
cheane;tS i: n;?iːn
groeger;g r\ @U g 3:r;gɹoʊgɜ:r
redistribution;r\ i: 4 i s t r\ @ b j u S @ n;ɹiːɾistɹəbjuʃən
scribblers;s k r\ I b l 3:r z;skɹɪblɜ:rz
nun;n V n;nʌn
mordant;m O: r\ d @ n t;mOːɹdənt
presidential;p r\ E z @ d E n tS @ l;pɹɛzədɛn?əl
centurion;s E n t U r\ i: @ n;sɛntʊɹiːən
patrolmen;p @ t r\ @U l m E n;pətɹoʊlmɛn
kotara;k @U t A r\ @;koʊtɑɹə
empey;E m p i:;ɛmpiː
puss(2);p V s;pʌs
murrill;m O: r\ @ l;mOːɹəl
armer;A r\ m 3:r;ɑɹmɜ:r
savage(2);s { v i dZ;sævi?
masek;m A s E k;mɑsɛk
lessard;l E s 3:r d;lɛsɜ:rd
gallerani;g A l 3:r A n i:;gɑlɜ:rɑniː
labatt(2);l @ b A t;ləbɑt
today'll;t @ d eI l;təd?l
kjellberg(2);k @ dZ E l b 3:r g;kə?ɛlbɜ:rg
charlier;tS A r\ l i: 3:r;?ɑɹliːɜ:r
gizbert;g I z b 3:r t;gɪzbɜ:rt
nurtured;n 3:r tS 3:r d;nɜ:r?ɜ:rd
boshers;b A S 3:r z;bɑʃɜ:rz
pacifists;p { s i f i s t s;pæsifists
peachy;p i: tS i:;piː?iː
netty;n E 4 i:;nɛɾiː
hockett;h A k i t;hɑkit
richest;r\ I tS @ s t;ɹɪ?əst
corbello;k 3:r b E l @U;kɜ:rbɛloʊ
rebels(2);r\ i b E l z;ɹibɛlz
grana;g r\ { n @;gɹænə
blanchards;b l { n tS 3:r d z;blæn?ɜ:rdz
ingenious;i n dZ i: n j @ s;in?iːnjəs
gratuitously;g r\ @ t u @ 4 @ s l i:;gɹətuəɾəsliː
users';j u z 3:r z;juzɜ:rz
grandmotherly(3);g r\ { m V D 3:r l i:;gɹæmʌðɜ:rliː
fests(2);f E s s;fɛss
spotters;s p A 4 3:r z;spɑɾɜ:rz
mcquerry;m @ k w E r\ i:;məkwɛɹiː
craze;k r\ eI z;kɹ?z
hinebaugh;h I n i b O:;hɪnibOː
crosthwaite;k r\ A s T w @ t;kɹɑsθwət
lipide;l i p i: d;lipiːd
viewers';v j u 3:r z;vjuɜ:rz
flett;f l E t;flɛt
mondor;m A n d 3:r;mɑndɜ:r
ciraulo;s 3:r O: l @U;sɜ:rOːloʊ
helminth;h E l m i n T;hɛlminθ
unalienable(2);@ n eI l j E n @ b @ l;ən?ljɛnəbəl
dreessen;d r\ i: s @ n;dɹiːsən
labay;l { b eI;læb?
stratocaster;s t r\ { 4 @U k { s t 3:r;stɹæɾoʊkæstɜ:r
janina;dZ @ n i: n @;?əniːnə
topekans;t @ p i: k @ n z;təpiːkənz
dethrone;d i T r\ @U n;diθɹoʊn
howden;h aU d @ n;h?dən
deflator;d i f l eI 4 3:r;difl?ɾɜ:r
paintball;p eI n t b A l;p?ntbɑl
sox;s A k s;sɑks
brewry;b r\ u r\ i:;bɹuɹiː
sounded(2);s aU n d i d;s?ndid
mukluk;m V k l @ k;mʌklək
wentzville;w E n t s v I l;wɛntsvɪl
anscomb;@ n s k A m;ənskɑm
intermittent;I n t 3:r m I t @ n t;ɪntɜ:rmɪtənt
subsurface;s V b s 3:r f @ s;sʌbsɜ:rfəs
lucier;l u s i: 3:r;lusiːɜ:r
lessnau;l E s n @U;lɛsnoʊ
koester;k @U s t 3:r;koʊstɜ:r
zlin;z l I n;zlɪn
fraleigh;f r\ eI l i:;fɹ?liː
plundered;p l V n d 3:r d;plʌndɜ:rd
corporal;k O: r\ p 3:r @ l;kOːɹpɜ:rəl
myanmar;m j A n m A r\;mjɑnmɑɹ
betzer;b E t z 3:r;bɛtzɜ:r
drayer;d r\ eI 3:r;dɹ?ɜ:r
foie;f OI;f?
francs;f r\ { N k s;fɹæŋks
belittles;b i l I 4 @ l z;bilɪɾəlz
canal's;k @ n { l z;kənælz
tertius(2);t 3:r S j i s;tɜ:rʃjis
peng;p E N;pɛŋ
bridgeman;b r\ I dZ m @ n;bɹɪ?mən
valuations;v { l j u eI S @ n z;vælju?ʃənz
mcmillen;m @ k m I l @ n;məkmɪlən
parmar;p A r\ m A r\;pɑɹmɑɹ
embroiled;E m b r\ OI l d;ɛmbɹ?ld
san-fran;s { n f r\ { n;sænfɹæn
mumbles;m V m b @ l z;mʌmbəlz
magar;m { g 3:r;mægɜ:r
nutrasweet;n u t r\ @ s w i: t;nutɹəswiːt
florek;f l O: r\ i k;flOːɹik
kochis;k A k i s;kɑkis
hollern;h A l 3:r n;hɑlɜ:rn
thins;T I n z;θɪnz
cisco;s I s k @U;sɪskoʊ
coniferous;k @ n I f 3:r @ s;kənɪfɜ:rəs
wynn's;w I n z;wɪnz
proponents;p r\ @ p @U n @ n t s;pɹəpoʊnənts
duri;d U r\ i:;dʊɹiː
publicly;p V b l i k l i:;pʌblikliː
insincere;I n s i n s I r\;ɪnsinsɪɹ
procure;p r\ @U k j U r\;pɹoʊkjʊɹ
thiede;T i: d;θiːd
harboring;h A r\ b 3:r i N;hɑɹbɜ:riŋ
basista;b @ s I s t @;bəsɪstə
geeting;g i: 4 i N;giːɾiŋ
cadillac;k { 4 @ l { k;kæɾəlæk
thanksgiving;T { N k s g I v i N;θæŋksgɪviŋ
attendees;@ t E n d i: z;ətɛndiːz
marinated;m E r\ @ n eI 4 i d;mɛɹən?ɾid
juline;dZ u l aI n;?ul?n
musica;m j u z i k @;mjuzikə
organized;O: r\ g @ n aI z d;Oːɹgən?zd
sparacino;s p 3:r @ tS i: n @U;spɜ:rə?iːnoʊ
moviemakers;m u v i: m eI k 3:r z;muviːm?kɜ:rz
championing;tS { m p i: @ n i N;?æmpiːəniŋ
praiseworthy;p r\ eI z w 3:r D i:;pɹ?zwɜ:rðiː
leaf;l i: f;liːf
cardiges;k A r\ 4 i dZ i z;kɑɹɾi?iz
cadenhead;k eI d @ n h E d;k?dənhɛd
darkest;d A r\ k @ s t;dɑɹkəst
steinway's;s t aI n w eI z;st?nw?z
castor;k { s t 3:r;kæstɜ:r
odriscoll(2);@U d r\ I s k A l;oʊdɹɪskɑl
burchill;b 3:r k h i l;bɜ:rkhil
impoverished;i m p A v r\ i S t;impɑvɹiʃt
haim(2);h eI m;h?m
doomed;d u m d;dumd
haseltine;h { s i l t i: n;hæsiltiːn
bolton;b @U l t @ n;boʊltən
encountered;i n k aU n t 3:r d;ink?ntɜ:rd
reimposed;r\ i: i m p @U z d;ɹiːimpoʊzd
quackenbush;k w { k @ n b U S;kwækənbʊʃ
influences;I n f l u @ n s i z;ɪnfluənsiz
abyss;@ b I s;əbɪs
straighten;s t r\ eI t @ n;stɹ?tən
gluck;g l V k;glʌk
cuccaro;k u k A r\ @U;kukɑɹoʊ
goofed;g u f t;guft
galvano;g A l v A n @U;gɑlvɑnoʊ
foreman;f O: r\ m @ n;fOːɹmən
refurbished;r\ i: f 3:r b i S t;ɹiːfɜ:rbiʃt
clothe;k l @U D;kloʊð
presuppose;p r\ i: s @ p @U z;pɹiːsəpoʊz
coot;k u t;kut
constituencies;k @ n s t I tS u @ n s i: z;kənstɪ?uənsiːz
becor's;b E k O: r\ z;bɛkOːɹz
shone;S @U n;ʃoʊn
morty;m O: r\ 4 i:;mOːɹɾiː
sunglasses;s V n g l { s i z;sʌnglæsiz
surfaces(2);s 3:r f @ s i z;sɜ:rfəsiz
gambone;g A m b @U n;gɑmboʊn
shad;S { d;ʃæd
chickering;tS I k 3:r i N;?ɪkɜ:riŋ
mccawley;m @ k O: l i:;məkOːliː
branstad;b r\ { n s t { d;bɹænstæd
malfeasance;m { l f i: z @ n s;mælfiːzəns
hip;h I p;hɪp
tessa;t E s @;tɛsə
chissano;tS i s A n @U;?isɑnoʊ
mississippis;m I s i s I p i: z;mɪsisɪpiːz
fora;f O: r\ @;fOːɹə
lock;l A k;lɑk
gohr;g A r\;gɑɹ
thornberg;T O: r\ n b 3:r g;θOːɹnbɜ:rg
prusak;p r\ u s @ k;pɹusək
derocco;d i r\ @U k @U;diɹoʊkoʊ
pruiett;p r\ u i t;pɹuit
crawley;k r\ O: l i:;kɹOːliː
continued;k @ n t I n j u d;kəntɪnjud
parties;p A r\ 4 i: z;pɑɹɾiːz
severin;s E v 3:r i n;sɛvɜ:rin
frederiksen;f r\ E 4 3:r i k s @ n;fɹɛɾɜ:riksən
wends;w E n d z;wɛndz
must;m V s t;mʌst
goodbyes(2);g i d b aI z;gidb?z
unglued;@ n g l u d;ənglud
schoepke;S @U p k i:;ʃoʊpkiː
humanism;h j u m @ n I z @ m;hjumənɪzəm
scorekeeping;s k O: r\ k i: p i N;skOːɹkiːpiŋ
adherence;@ d h I r\ @ n s;ədhɪɹəns
hampshire(4);h { m S aI 3:r;hæmʃ?ɜ:r
prison;p r\ I z @ n;pɹɪzən
larmore;l A r\ m O: r\;lɑɹmOːɹ
nevels;n E v @ l z;nɛvəlz
spak;s p { k;spæk
siroky;s I r\ @ k i:;sɪɹəkiː
genego(3);dZ i: i: E n i: dZ i: @U;?iːiːɛniː?iːoʊ
turner's;t 3:r n 3:r z;tɜ:rnɜ:rz
striving;s t r\ aI v i N;stɹ?viŋ
rosendale;r\ @U z @ n d eI l;ɹoʊzənd?l
stacked;s t { k t;stækt
franco's;f r\ { N k @U z;fɹæŋkoʊz
xtra;E k s t r\ @;ɛkstɹə
sculptured;s k V l p tS 3:r d;skʌlp?ɜ:rd
codifies;k @U 4 @ f aI z;koʊɾəf?z
scolding;s k @U l d i N;skoʊldiŋ
shakiest;S eI k i: i s t;ʃ?kiːist
administrations;{ d m I n i s t r\ eI S @ n z;ædmɪnistɹ?ʃənz
dogwoods;d O: g w U d z;dOːgwʊdz
surfaceness;s 3:r f @ s n @ s;sɜ:rfəsnəs
vereen;v I r\ i: n;vɪɹiːn
difficulty;d I f @ k @ l t i:;dɪfəkəltiː
redmund;r\ E d m @ n d;ɹɛdmənd
bitch;b I tS;bɪ?
harc;h A r\ k;hɑɹk
slovacek;s l A v @ tS E k;slɑvə?ɛk
cichon;s I tS @ n;sɪ?ən
kiplinger;k I p @ l i N 3:r;kɪpəliŋɜ:r
commissar;k A m @ s A r\;kɑməsɑɹ
kurshikov;k 3:r S n i k O: v;kɜ:rʃnikOːv
stepladders;s t E p l { 4 3:r z;stɛplæɾɜ:rz
jarvinen;dZ A r\ v i n @ n;?ɑɹvinən
coastal;k @U s t @ l;koʊstəl
wissa;w I s @;wɪsə
postel;p A s t @ l;pɑstəl
loibl;l OI b @ l;l?bəl
breier;b r\ aI 3:r;bɹ?ɜ:r
churkin's;tS 3:r k @ n z;?ɜ:rkənz
cropland;k r\ A p l { n d;kɹɑplænd
hamp;h { m p;hæmp
replaced;r\ i: p l eI s t;ɹiːpl?st
challengers;tS { l @ n dZ 3:r z;?ælən?ɜ:rz
domingue;d @U m i N;doʊmiŋ
merman;m 3:r m { n;mɜ:rmæn
hendricks;h E n d r\ i k s;hɛndɹiks
nielsen;n i: l s @ n;niːlsən
unadjust;V n @ dZ V s t;ʌnə?ʌst
husseini(2);h u s eI n i:;hus?niː
crawl;k r\ O: l;kɹOːl
edgington;E dZ i N t @ n;ɛ?iŋtən
wilhelms;w I l h E l m z;wɪlhɛlmz
testing;t E s t i N;tɛstiŋ
ivie;aI v i:;?viː
micron;m aI k r\ A n;m?kɹɑn
ostinato;A s t @ n A t @U;ɑstənɑtoʊ
rollyson;r\ A l i s @ n;ɹɑlisən
autocrat;O: 4 @ k r\ { t;Oːɾəkɹæt
madre;m A d r\ eI;mɑdɹ?
klusman;k l V s m @ n;klʌsmən
average(3);{ v r\ i dZ;ævɹi?
fitzsimons;f i t s I m @ n z;fitsɪmənz
hetu;h i: tS u;hiː?u
simmon's;s I m @ n z;sɪmənz
murali;m 3:r A l i:;mɜ:rɑliː
titania;t @ t A n j @;tətɑnjə
lamotta;l A m @U 4 @;lɑmoʊɾə
pervasiveness;p 3:r v eI s i v n i s;pɜ:rv?sivnis
pimentel;p I m i n t @ l;pɪmintəl
subsidiaries;s @ b s I 4 i: E r\ i: z;səbsɪɾiːɛɹiːz
rivalry;r\ aI v @ l r\ i:;ɹ?vəlɹiː
breathless;b r\ E T l @ s;bɹɛθləs
roundworm;r\ aU n d w 3:r m;ɹ?ndwɜ:rm
needham's;n i: 4 @ m z;niːɾəmz
schuler;S u l 3:r;ʃulɜ:r
goodlett;g U d l E t;gʊdlɛt
fukuyama;f u k u j A m @;fukujɑmə
hallowe'en;h { l @ w i: n;hæləwiːn
balderdash;b O: l d 3:r d { S;bOːldɜ:rdæʃ
mcfann;m @ k f { n;məkfæn
rem;r\ E m;ɹɛm
amalfitano;A m A l f i: t A n @U;ɑmɑlfiːtɑnoʊ
garrigues;g A r\ i: g E s;gɑɹiːgɛs
erbe;3:r b;ɜ:rb
fiss;f I s;fɪs
pandick;p { n d I k;pændɪk
lafreniere;l { f r\ i n i: E r\;læfɹiniːɛɹ
military(2);m I l i t E r\ i:;mɪlitɛɹiː
geyer;g eI 3:r;g?ɜ:r
substation;s V b s t eI S @ n;sʌbst?ʃən
session;s E S @ n;sɛʃən
scantily;s k { n t @ l i:;skæntəliː
ric;r\ I k;ɹɪk
operated;A p 3:r eI 4 @ d;ɑpɜ:r?ɾəd
deputies;d E p j @ 4 i: z;dɛpjəɾiːz
farrakhan;f A r\ @ k A n;fɑɹəkɑn
jowls;dZ aU l z;??lz
obrecht;A b r\ i k t;ɑbɹikt
lesko;l E s k @U;lɛskoʊ
saw;s O:;sOː
clown;k l aU n;kl?n
neikirk;n i: k 3:r k;niːkɜ:rk
presidency's;p r\ E z @ d @ n s i: z;pɹɛzədənsiːz
tabled;t eI b @ l d;t?bəld
caen(2);k A n;kɑn
qualms;k w A m z;kwɑmz
fanciful;f { n s i f @ l;fænsifəl
phantasm;f { n t { z @ m;fæntæzəm
perspiration;p 3:r s p 3:r eI S @ n;pɜ:rspɜ:r?ʃən
renner;r\ E n 3:r;ɹɛnɜ:r
hornback;h O: r\ n b { k;hOːɹnbæk
straker;s t r\ eI k 3:r;stɹ?kɜ:r
vivas;v i: v @ z;viːvəz
ivery;aI v 3:r i:;?vɜ:riː
zanu;z A n u;zɑnu
cosmos;k A z m @U s;kɑzmoʊs
marinaccio;m A r\ i n A tS i: @U;mɑɹinɑ?iːoʊ
rutts;r\ V t s;ɹʌts
wily;w aI l i:;w?liː
alexopoulos;{ l i g z A p @ l i s;æligzɑpəlis
bigby;b I g b i:;bɪgbiː
consummate;k A n s @ m @ t;kɑnsəmət
entirety;i n t aI 3:r 4 i:;int?ɜ:rɾiː
whoever;h u E v 3:r;huɛvɜ:r
multitask;m V l t i: t { s k;mʌltiːtæsk
sweger;s w i: g 3:r;swiːgɜ:r
edger;E dZ 3:r;ɛ?ɜ:r
amison;{ m i s @ n;æmisən
brittingham;b r\ I 4 i N h { m;bɹɪɾiŋhæm
nelia;n E l i: @;nɛliːə
tell;t E l;tɛl
plushy;p l V S i:;plʌʃiː
shortchanged;S O: r\ t tS eI n dZ d;ʃOːɹt??n?d
isosceles;aI s O: s @ l i: z;?sOːsəliːz
psychiatrists(2);s @ k aI @ t r\ @ s s;sək?ətɹəss
hatten;h { t @ n;hætən
creepiness;k r\ i: p i: n i s;kɹiːpiːnis
wentworth;w E n t w 3:r T;wɛntwɜ:rθ
standpoints;s t { n d p OI n t s;stændp?nts
hastened;h eI s @ n d;h?sənd
teenager;t i: n eI dZ 3:r;tiːn??ɜ:r
vanblarcom;v { n b l A r\ k @ m;vænblɑɹkəm
guru's;g u r\ u z;guɹuz
humanists;h j u m @ n @ s t s;hjumənəsts
begelman;b eI g @ l m @ n;b?gəlmən
pearl;p 3:r l;pɜ:rl
streamers;s t r\ i: m 3:r z;stɹiːmɜ:rz
benton;b E n t @ n;bɛntən
ilopango;i: l @U p { N g @U;iːloʊpæŋgoʊ
pedicure;p E 4 i k j 3:r;pɛɾikjɜ:r
overproducer;@U v 3:r p r\ @ d u s 3:r;oʊvɜ:rpɹədusɜ:r
dentton;d E n t @ n;dɛntən
segregate;s E g r\ @ g eI t;sɛgɹəg?t
annealing;@ n i: l i N;əniːliŋ
desmarais;d E z m 3:r eI;dɛzmɜ:r?
coppins;k A p i n z;kɑpinz
lazily;l { z @ l i:;læzəliː
obstructions;@ b s t r\ V k S @ n z;əbstɹʌkʃənz
cronus;k r\ @U n @ s;kɹoʊnəs
caulkins;k O: l k i n z;kOːlkinz
trailing;t r\ eI l i N;tɹ?liŋ
politician;p A l @ t I S @ n;pɑlətɪʃən
betar;b E 4 A r\;bɛɾɑɹ
parana;p 3:r A n @;pɜ:rɑnə
goddart;g A 4 A r\ t;gɑɾɑɹt
oravec;O: r\ A v i k;Oːɹɑvik
lumberyards;l V m b 3:r j A r\ d z;lʌmbɜ:rjɑɹdz
cocking;k A k i N;kɑkiŋ
currys(2);k 3:r i: z;kɜ:riːz
tita;t i: 4 @;tiːɾə
keir;k i: r\;kiːɹ
cultivating;k V l t i v eI 4 i N;kʌltiv?ɾiŋ
pendergrass;p E n d 3:r g r\ @ s;pɛndɜ:rgɹəs
gentrifying;dZ E n t r\ i f aI i N;?ɛntɹif?iŋ
ladder;l { 4 3:r;læɾɜ:r
